Using device: cuda
Episode 0, Total Reward: 2.0, Total Frames: 23, epsilon 0.9999769999999993
Episode 86, Total Reward: 0.0, Total Frames: 649, epsilon 0.9993509999999813
Episode 87, Total Reward: 1.0, Total Frames: 660, epsilon 0.999339999999981
Episode 88, Total Reward: 0.0, Total Frames: 662, epsilon 0.999337999999981
Episode 89, Total Reward: 2.0, Total Frames: 680, epsilon 0.9993199999999804
Episode 90, Total Reward: 0.0, Total Frames: 682, epsilon 0.9993179999999804
Episode 91, Total Reward: 0.0, Total Frames: 684, epsilon 0.9993159999999803
Episode 92, Total Reward: 0.0, Total Frames: 686, epsilon 0.9993139999999803
Episode 93, Total Reward: 0.0, Total Frames: 688, epsilon 0.9993119999999802
Episode 94, Total Reward: 0.0, Total Frames: 690, epsilon 0.9993099999999802
Episode 95, Total Reward: 0.0, Total Frames: 692, epsilon 0.9993079999999801
Episode 96, Total Reward: 3.0, Total Frames: 723, epsilon 0.9992769999999792
Episode 97, Total Reward: 0.0, Total Frames: 725, epsilon 0.9992749999999792
Episode 98, Total Reward: 2.0, Total Frames: 751, epsilon 0.9992489999999784
Episode 99, Total Reward: 0.0, Total Frames: 753, epsilon 0.9992469999999783
Episode 100, Total Reward: 0.0, Total Frames: 755, epsilon 0.9992449999999783
Episode 101, Total Reward: 0.0, Total Frames: 757, epsilon 0.9992429999999782
Episode 102, Total Reward: 1.0, Total Frames: 769, epsilon 0.9992309999999779
Episode 103, Total Reward: 0.0, Total Frames: 771, epsilon 0.9992289999999778
Episode 104, Total Reward: 2.0, Total Frames: 791, epsilon 0.9992089999999773
Episode 105, Total Reward: 0.0, Total Frames: 793, epsilon 0.9992069999999772
Episode 106, Total Reward: 0.0, Total Frames: 801, epsilon 0.999198999999977
Episode 107, Total Reward: 0.0, Total Frames: 803, epsilon 0.9991969999999769
Episode 108, Total Reward: 0.0, Total Frames: 805, epsilon 0.9991949999999769
Episode 109, Total Reward: 1.0, Total Frames: 816, epsilon 0.9991839999999765
Episode 110, Total Reward: 0.0, Total Frames: 826, epsilon 0.9991739999999762
Episode 111, Total Reward: 2.0, Total Frames: 846, epsilon 0.9991539999999757
Episode 112, Total Reward: 0.0, Total Frames: 848, epsilon 0.9991519999999756
Episode 113, Total Reward: 0.0, Total Frames: 850, epsilon 0.9991499999999756
Episode 114, Total Reward: 0.0, Total Frames: 852, epsilon 0.9991479999999755
Episode 115, Total Reward: 0.0, Total Frames: 854, epsilon 0.9991459999999754
Episode 116, Total Reward: 0.0, Total Frames: 856, epsilon 0.9991439999999754
Episode 117, Total Reward: 0.0, Total Frames: 858, epsilon 0.9991419999999753
Episode 118, Total Reward: 0.0, Total Frames: 860, epsilon 0.9991399999999753
Episode 119, Total Reward: 0.0, Total Frames: 862, epsilon 0.9991379999999752
Episode 120, Total Reward: 2.0, Total Frames: 880, epsilon 0.9991199999999747
Episode 121, Total Reward: 0.0, Total Frames: 882, epsilon 0.9991179999999746
Episode 122, Total Reward: 0.0, Total Frames: 884, epsilon 0.9991159999999746
Episode 123, Total Reward: 0.0, Total Frames: 886, epsilon 0.9991139999999745
Episode 124, Total Reward: 0.0, Total Frames: 888, epsilon 0.9991119999999745
Episode 125, Total Reward: 1.0, Total Frames: 902, epsilon 0.9990979999999741
Episode 126, Total Reward: 0.0, Total Frames: 904, epsilon 0.999095999999974
Episode 127, Total Reward: 1.0, Total Frames: 915, epsilon 0.9990849999999737
Episode 128, Total Reward: 1.0, Total Frames: 929, epsilon 0.9990709999999733
Episode 129, Total Reward: 0.0, Total Frames: 931, epsilon 0.9990689999999732
Episode 130, Total Reward: 0.0, Total Frames: 933, epsilon 0.9990669999999732
Episode 131, Total Reward: 0.0, Total Frames: 935, epsilon 0.9990649999999731
Episode 132, Total Reward: 0.0, Total Frames: 937, epsilon 0.9990629999999731
Episode 133, Total Reward: 1.0, Total Frames: 948, epsilon 0.9990519999999727
Episode 134, Total Reward: 0.0, Total Frames: 957, epsilon 0.9990429999999725
Episode 135, Total Reward: 0.0, Total Frames: 959, epsilon 0.9990409999999724
Episode 136, Total Reward: 0.0, Total Frames: 961, epsilon 0.9990389999999724
Episode 137, Total Reward: 1.0, Total Frames: 974, epsilon 0.999025999999972
Episode 138, Total Reward: 0.0, Total Frames: 976, epsilon 0.9990239999999719
Episode 139, Total Reward: 2.0, Total Frames: 1000, epsilon 0.9989999999999712
Episode 140, Total Reward: 2.0, Total Frames: 1020, epsilon 0.9989799999999707
Episode 141, Total Reward: 1.0, Total Frames: 1034, epsilon 0.9989659999999703
Episode 142, Total Reward: 0.0, Total Frames: 1036, epsilon 0.9989639999999702
Episode 143, Total Reward: 1.0, Total Frames: 1048, epsilon 0.9989519999999699
Episode 144, Total Reward: 0.0, Total Frames: 1050, epsilon 0.9989499999999698
Episode 145, Total Reward: 0.0, Total Frames: 1052, epsilon 0.9989479999999697
Episode 146, Total Reward: 0.0, Total Frames: 1054, epsilon 0.9989459999999697
Episode 147, Total Reward: 2.0, Total Frames: 1072, epsilon 0.9989279999999692
Episode 148, Total Reward: 0.0, Total Frames: 1074, epsilon 0.9989259999999691
Episode 149, Total Reward: 0.0, Total Frames: 1076, epsilon 0.9989239999999691
Episode 150, Total Reward: 0.0, Total Frames: 1078, epsilon 0.998921999999969
Episode 151, Total Reward: 2.0, Total Frames: 1096, epsilon 0.9989039999999685
Episode 152, Total Reward: 0.0, Total Frames: 1098, epsilon 0.9989019999999684
Episode 153, Total Reward: 0.0, Total Frames: 1100, epsilon 0.9988999999999684
Episode 154, Total Reward: 0.0, Total Frames: 1102, epsilon 0.9988979999999683
Episode 155, Total Reward: 0.0, Total Frames: 1104, epsilon 0.9988959999999683
Episode 156, Total Reward: 0.0, Total Frames: 1106, epsilon 0.9988939999999682
Episode 157, Total Reward: 1.0, Total Frames: 1117, epsilon 0.9988829999999679
Episode 158, Total Reward: 0.0, Total Frames: 1124, epsilon 0.9988759999999677
Episode 159, Total Reward: 0.0, Total Frames: 1126, epsilon 0.9988739999999676
Episode 160, Total Reward: 0.0, Total Frames: 1128, epsilon 0.9988719999999676
Episode 161, Total Reward: 2.0, Total Frames: 1146, epsilon 0.998853999999967
Episode 162, Total Reward: 0.0, Total Frames: 1148, epsilon 0.998851999999967
Episode 163, Total Reward: 1.0, Total Frames: 1162, epsilon 0.9988379999999666
Episode 164, Total Reward: 3.0, Total Frames: 1195, epsilon 0.9988049999999656
Episode 165, Total Reward: 0.0, Total Frames: 1202, epsilon 0.9987979999999654
Episode 166, Total Reward: 0.0, Total Frames: 1204, epsilon 0.9987959999999654
Episode 167, Total Reward: 0.0, Total Frames: 1206, epsilon 0.9987939999999653
Episode 168, Total Reward: 0.0, Total Frames: 1208, epsilon 0.9987919999999653
Episode 169, Total Reward: 1.0, Total Frames: 1219, epsilon 0.998780999999965
Episode 170, Total Reward: 0.0, Total Frames: 1221, epsilon 0.9987789999999649
Episode 171, Total Reward: 0.0, Total Frames: 1223, epsilon 0.9987769999999648
Episode 172, Total Reward: 0.0, Total Frames: 1225, epsilon 0.9987749999999648
Episode 173, Total Reward: 0.0, Total Frames: 1227, epsilon 0.9987729999999647
Episode 174, Total Reward: 1.0, Total Frames: 1240, epsilon 0.9987599999999643
Episode 175, Total Reward: 0.0, Total Frames: 1242, epsilon 0.9987579999999643
Episode 176, Total Reward: 0.0, Total Frames: 1244, epsilon 0.9987559999999642
Episode 177, Total Reward: 0.0, Total Frames: 1246, epsilon 0.9987539999999642
Episode 178, Total Reward: 1.0, Total Frames: 1259, epsilon 0.9987409999999638
Episode 179, Total Reward: 0.0, Total Frames: 1268, epsilon 0.9987319999999635
Episode 180, Total Reward: 0.0, Total Frames: 1270, epsilon 0.9987299999999635
Episode 181, Total Reward: 0.0, Total Frames: 1272, epsilon 0.9987279999999634
Episode 182, Total Reward: 0.0, Total Frames: 1274, epsilon 0.9987259999999634
Episode 183, Total Reward: 0.0, Total Frames: 1276, epsilon 0.9987239999999633
Episode 184, Total Reward: 0.0, Total Frames: 1278, epsilon 0.9987219999999633
Episode 185, Total Reward: 1.0, Total Frames: 1291, epsilon 0.9987089999999629
Episode 186, Total Reward: 0.0, Total Frames: 1293, epsilon 0.9987069999999628
Episode 187, Total Reward: 0.0, Total Frames: 1295, epsilon 0.9987049999999628
Episode 188, Total Reward: 0.0, Total Frames: 1297, epsilon 0.9987029999999627
Episode 189, Total Reward: 0.0, Total Frames: 1299, epsilon 0.9987009999999626
Episode 190, Total Reward: 0.0, Total Frames: 1301, epsilon 0.9986989999999626
Episode 191, Total Reward: 1.0, Total Frames: 1312, epsilon 0.9986879999999623
Episode 192, Total Reward: 0.0, Total Frames: 1314, epsilon 0.9986859999999622
Episode 193, Total Reward: 0.0, Total Frames: 1316, epsilon 0.9986839999999622
Episode 194, Total Reward: 1.0, Total Frames: 1329, epsilon 0.9986709999999618
Episode 195, Total Reward: 0.0, Total Frames: 1341, epsilon 0.9986589999999614
Episode 196, Total Reward: 0.0, Total Frames: 1343, epsilon 0.9986569999999614
Episode 197, Total Reward: 1.0, Total Frames: 1354, epsilon 0.9986459999999611
Episode 198, Total Reward: 0.0, Total Frames: 1356, epsilon 0.998643999999961
Episode 199, Total Reward: 0.0, Total Frames: 1358, epsilon 0.998641999999961
Episode 200, Total Reward: 1.0, Total Frames: 1370, epsilon 0.9986299999999606
Episode 201, Total Reward: 0.0, Total Frames: 1372, epsilon 0.9986279999999605
Episode 202, Total Reward: 2.0, Total Frames: 1390, epsilon 0.99860999999996
Episode 203, Total Reward: 2.0, Total Frames: 1416, epsilon 0.9985839999999593
Episode 204, Total Reward: 0.0, Total Frames: 1418, epsilon 0.9985819999999592
Episode 205, Total Reward: 0.0, Total Frames: 1420, epsilon 0.9985799999999592
Episode 206, Total Reward: 0.0, Total Frames: 1422, epsilon 0.9985779999999591
Episode 207, Total Reward: 0.0, Total Frames: 1424, epsilon 0.998575999999959
Episode 208, Total Reward: 0.0, Total Frames: 1426, epsilon 0.998573999999959
Episode 209, Total Reward: 2.0, Total Frames: 1444, epsilon 0.9985559999999585
Episode 210, Total Reward: 0.0, Total Frames: 1446, epsilon 0.9985539999999584
Episode 211, Total Reward: 0.0, Total Frames: 1448, epsilon 0.9985519999999584
Episode 212, Total Reward: 0.0, Total Frames: 1450, epsilon 0.9985499999999583
Episode 213, Total Reward: 0.0, Total Frames: 1452, epsilon 0.9985479999999582
Episode 214, Total Reward: 2.0, Total Frames: 1472, epsilon 0.9985279999999577
Episode 215, Total Reward: 0.0, Total Frames: 1474, epsilon 0.9985259999999576
Episode 216, Total Reward: 0.0, Total Frames: 1476, epsilon 0.9985239999999576
Episode 217, Total Reward: 1.0, Total Frames: 1487, epsilon 0.9985129999999572
Episode 218, Total Reward: 1.0, Total Frames: 1501, epsilon 0.9984989999999568
Episode 219, Total Reward: 0.0, Total Frames: 1503, epsilon 0.9984969999999568
Episode 220, Total Reward: 0.0, Total Frames: 1505, epsilon 0.9984949999999567
Episode 221, Total Reward: 0.0, Total Frames: 1507, epsilon 0.9984929999999567
Episode 222, Total Reward: 1.0, Total Frames: 1518, epsilon 0.9984819999999563
Episode 223, Total Reward: 0.0, Total Frames: 1520, epsilon 0.9984799999999563
Episode 224, Total Reward: 0.0, Total Frames: 1522, epsilon 0.9984779999999562
Episode 225, Total Reward: 0.0, Total Frames: 1524, epsilon 0.9984759999999562
Episode 226, Total Reward: 0.0, Total Frames: 1526, epsilon 0.9984739999999561
Episode 227, Total Reward: 0.0, Total Frames: 1528, epsilon 0.9984719999999561
Episode 228, Total Reward: 0.0, Total Frames: 1535, epsilon 0.9984649999999559
Episode 229, Total Reward: 0.0, Total Frames: 1537, epsilon 0.9984629999999558
Episode 230, Total Reward: 0.0, Total Frames: 1539, epsilon 0.9984609999999557
Episode 231, Total Reward: 1.0, Total Frames: 1552, epsilon 0.9984479999999554
Episode 232, Total Reward: 0.0, Total Frames: 1563, epsilon 0.998436999999955
Episode 233, Total Reward: 0.0, Total Frames: 1565, epsilon 0.998434999999955
Episode 234, Total Reward: 0.0, Total Frames: 1567, epsilon 0.9984329999999549
Episode 235, Total Reward: 0.0, Total Frames: 1569, epsilon 0.9984309999999549
Episode 236, Total Reward: 2.0, Total Frames: 1590, epsilon 0.9984099999999543
Episode 237, Total Reward: 0.0, Total Frames: 1592, epsilon 0.9984079999999542
Episode 238, Total Reward: 0.0, Total Frames: 1594, epsilon 0.9984059999999542
Episode 239, Total Reward: 0.0, Total Frames: 1596, epsilon 0.9984039999999541
Episode 240, Total Reward: 3.0, Total Frames: 1632, epsilon 0.9983679999999531
Episode 241, Total Reward: 0.0, Total Frames: 1634, epsilon 0.998365999999953
Episode 242, Total Reward: 0.0, Total Frames: 1636, epsilon 0.998363999999953
Episode 243, Total Reward: 0.0, Total Frames: 1638, epsilon 0.9983619999999529
Episode 244, Total Reward: 0.0, Total Frames: 1640, epsilon 0.9983599999999528
Episode 245, Total Reward: 1.0, Total Frames: 1651, epsilon 0.9983489999999525
Episode 246, Total Reward: 0.0, Total Frames: 1653, epsilon 0.9983469999999525
Episode 247, Total Reward: 1.0, Total Frames: 1665, epsilon 0.9983349999999521
Episode 248, Total Reward: 1.0, Total Frames: 1679, epsilon 0.9983209999999517
Episode 249, Total Reward: 0.0, Total Frames: 1681, epsilon 0.9983189999999517
Episode 250, Total Reward: 1.0, Total Frames: 1692, epsilon 0.9983079999999513
Episode 251, Total Reward: 0.0, Total Frames: 1701, epsilon 0.9982989999999511
Episode 252, Total Reward: 1.0, Total Frames: 1715, epsilon 0.9982849999999507
Episode 253, Total Reward: 0.0, Total Frames: 1717, epsilon 0.9982829999999506
Episode 254, Total Reward: 2.0, Total Frames: 1737, epsilon 0.99826299999995
Episode 255, Total Reward: 0.0, Total Frames: 1739, epsilon 0.99826099999995
Episode 256, Total Reward: 0.0, Total Frames: 1741, epsilon 0.9982589999999499
Episode 257, Total Reward: 0.0, Total Frames: 1743, epsilon 0.9982569999999499
Episode 258, Total Reward: 0.0, Total Frames: 1745, epsilon 0.9982549999999498
Episode 259, Total Reward: 2.0, Total Frames: 1769, epsilon 0.9982309999999491
Episode 260, Total Reward: 0.0, Total Frames: 1771, epsilon 0.9982289999999491
Episode 261, Total Reward: 2.0, Total Frames: 1795, epsilon 0.9982049999999484
Episode 262, Total Reward: 0.0, Total Frames: 1806, epsilon 0.9981939999999481
Episode 263, Total Reward: 0.0, Total Frames: 1808, epsilon 0.998191999999948
Episode 264, Total Reward: 0.0, Total Frames: 1810, epsilon 0.998189999999948
Episode 265, Total Reward: 0.0, Total Frames: 1812, epsilon 0.9981879999999479
Episode 266, Total Reward: 1.0, Total Frames: 1823, epsilon 0.9981769999999476
Episode 267, Total Reward: 0.0, Total Frames: 1825, epsilon 0.9981749999999475
Episode 268, Total Reward: 0.0, Total Frames: 1827, epsilon 0.9981729999999475
Episode 269, Total Reward: 0.0, Total Frames: 1829, epsilon 0.9981709999999474
Episode 270, Total Reward: 0.0, Total Frames: 1831, epsilon 0.9981689999999473
Episode 271, Total Reward: 0.0, Total Frames: 1833, epsilon 0.9981669999999473
Episode 272, Total Reward: 0.0, Total Frames: 1835, epsilon 0.9981649999999472
Episode 273, Total Reward: 0.0, Total Frames: 1837, epsilon 0.9981629999999472
Episode 274, Total Reward: 1.0, Total Frames: 1850, epsilon 0.9981499999999468
Episode 275, Total Reward: 0.0, Total Frames: 1859, epsilon 0.9981409999999465
Episode 276, Total Reward: 0.0, Total Frames: 1861, epsilon 0.9981389999999465
Episode 277, Total Reward: 0.0, Total Frames: 1863, epsilon 0.9981369999999464
Episode 278, Total Reward: 0.0, Total Frames: 1865, epsilon 0.9981349999999464
Episode 279, Total Reward: 0.0, Total Frames: 1867, epsilon 0.9981329999999463
Episode 280, Total Reward: 3.0, Total Frames: 1898, epsilon 0.9981019999999454
Episode 281, Total Reward: 0.0, Total Frames: 1900, epsilon 0.9980999999999454
Episode 282, Total Reward: 0.0, Total Frames: 1902, epsilon 0.9980979999999453
Episode 283, Total Reward: 0.0, Total Frames: 1904, epsilon 0.9980959999999452
Episode 284, Total Reward: 0.0, Total Frames: 1906, epsilon 0.9980939999999452
Episode 285, Total Reward: 0.0, Total Frames: 1908, epsilon 0.9980919999999451
Episode 286, Total Reward: 0.0, Total Frames: 1910, epsilon 0.9980899999999451
Episode 287, Total Reward: 0.0, Total Frames: 1912, epsilon 0.998087999999945
Episode 288, Total Reward: 3.0, Total Frames: 1943, epsilon 0.9980569999999441
Episode 289, Total Reward: 0.0, Total Frames: 1945, epsilon 0.9980549999999441
Episode 290, Total Reward: 0.0, Total Frames: 1947, epsilon 0.998052999999944
Episode 291, Total Reward: 3.0, Total Frames: 1980, epsilon 0.9980199999999431
Episode 292, Total Reward: 1.0, Total Frames: 1994, epsilon 0.9980059999999427
Episode 293, Total Reward: 0.0, Total Frames: 2002, epsilon 0.9979979999999424
Episode 294, Total Reward: 0.0, Total Frames: 2004, epsilon 0.9979959999999424
Episode 295, Total Reward: 0.0, Total Frames: 2006, epsilon 0.9979939999999423
Episode 296, Total Reward: 2.0, Total Frames: 2024, epsilon 0.9979759999999418
Episode 297, Total Reward: 1.0, Total Frames: 2038, epsilon 0.9979619999999414
Episode 298, Total Reward: 0.0, Total Frames: 2040, epsilon 0.9979599999999413
Episode 299, Total Reward: 0.0, Total Frames: 2042, epsilon 0.9979579999999413
Episode 300, Total Reward: 0.0, Total Frames: 2044, epsilon 0.9979559999999412
Episode 301, Total Reward: 0.0, Total Frames: 2046, epsilon 0.9979539999999412
Episode 302, Total Reward: 1.0, Total Frames: 2057, epsilon 0.9979429999999408
Episode 303, Total Reward: 0.0, Total Frames: 2064, epsilon 0.9979359999999406
Episode 304, Total Reward: 0.0, Total Frames: 2066, epsilon 0.9979339999999406
Episode 305, Total Reward: 0.0, Total Frames: 2068, epsilon 0.9979319999999405
Episode 306, Total Reward: 0.0, Total Frames: 2070, epsilon 0.9979299999999405
Episode 307, Total Reward: 1.0, Total Frames: 2083, epsilon 0.9979169999999401
Episode 308, Total Reward: 2.0, Total Frames: 2108, epsilon 0.9978919999999394
Episode 309, Total Reward: 1.0, Total Frames: 2121, epsilon 0.997878999999939
Episode 310, Total Reward: 0.0, Total Frames: 2123, epsilon 0.997876999999939
Episode 311, Total Reward: 1.0, Total Frames: 2135, epsilon 0.9978649999999386
Episode 312, Total Reward: 0.0, Total Frames: 2155, epsilon 0.997844999999938
Episode 313, Total Reward: 0.0, Total Frames: 2157, epsilon 0.997842999999938
Episode 314, Total Reward: 0.0, Total Frames: 2159, epsilon 0.9978409999999379
Episode 315, Total Reward: 1.0, Total Frames: 2172, epsilon 0.9978279999999375
Episode 316, Total Reward: 1.0, Total Frames: 2186, epsilon 0.9978139999999371
Episode 317, Total Reward: 0.0, Total Frames: 2188, epsilon 0.9978119999999371
Episode 318, Total Reward: 0.0, Total Frames: 2190, epsilon 0.997809999999937
Episode 319, Total Reward: 0.0, Total Frames: 2192, epsilon 0.997807999999937
Episode 320, Total Reward: 1.0, Total Frames: 2203, epsilon 0.9977969999999367
Episode 321, Total Reward: 1.0, Total Frames: 2217, epsilon 0.9977829999999362
Episode 322, Total Reward: 0.0, Total Frames: 2219, epsilon 0.9977809999999362
Episode 323, Total Reward: 0.0, Total Frames: 2221, epsilon 0.9977789999999361
Episode 324, Total Reward: 0.0, Total Frames: 2223, epsilon 0.9977769999999361
Episode 325, Total Reward: 1.0, Total Frames: 2236, epsilon 0.9977639999999357
Episode 326, Total Reward: 0.0, Total Frames: 2238, epsilon 0.9977619999999356
Episode 327, Total Reward: 0.0, Total Frames: 2240, epsilon 0.9977599999999356
Episode 328, Total Reward: 0.0, Total Frames: 2242, epsilon 0.9977579999999355
Episode 329, Total Reward: 1.0, Total Frames: 2253, epsilon 0.9977469999999352
Episode 330, Total Reward: 0.0, Total Frames: 2261, epsilon 0.997738999999935
Episode 331, Total Reward: 1.0, Total Frames: 2279, epsilon 0.9977209999999345
Episode 332, Total Reward: 0.0, Total Frames: 2287, epsilon 0.9977129999999342
Episode 333, Total Reward: 0.0, Total Frames: 2289, epsilon 0.9977109999999342
Episode 334, Total Reward: 0.0, Total Frames: 2291, epsilon 0.9977089999999341
Episode 335, Total Reward: 2.0, Total Frames: 2311, epsilon 0.9976889999999335
Episode 336, Total Reward: 0.0, Total Frames: 2318, epsilon 0.9976819999999333
Episode 337, Total Reward: 1.0, Total Frames: 2332, epsilon 0.9976679999999329
Episode 338, Total Reward: 0.0, Total Frames: 2339, epsilon 0.9976609999999327
Episode 339, Total Reward: 1.0, Total Frames: 2350, epsilon 0.9976499999999324
Episode 340, Total Reward: 0.0, Total Frames: 2358, epsilon 0.9976419999999322
Episode 341, Total Reward: 1.0, Total Frames: 2370, epsilon 0.9976299999999318
Episode 342, Total Reward: 0.0, Total Frames: 2372, epsilon 0.9976279999999318
Episode 343, Total Reward: 3.0, Total Frames: 2410, epsilon 0.9975899999999307
